"Freq [GHz]","dB(S(Port1,Port1)) []","dB(S(Port2,Port1)) []","dB(S(Port2,Port2)) []","dB(S(1,1))_sim []","dB(S(4,1))_sim []"
3.15,-5.96793871088875,-2.03829350365271,-5.754696937618,-5.50305594930419,-1.72880756547468
3.155,-5.92142944203562,-2.09136625920294,-5.72501056013235,,
3.16,-5.87011033705389,-2.1542770221809,-5.69766705474125,,
3.165,-5.81677032452067,-2.22148216057202,-5.671299603801,,
3.17,-5.76333594983493,-2.28986628763184,-5.64615828149842,,
3.175,-5.71327160814723,-2.35354940514746,-5.62210829895345,-5.3176190937389,-1.80843869445107
3.18,-5.66267790445135,-2.40540779257982,-5.59751790160607,,
3.185,-5.61732830159371,-2.44450753773444,-5.57197899276951,,
3.19,-5.57194679332324,-2.46487736716404,-5.54041447072246,,
3.195,-5.52655421030268,-2.46444157712476,-5.50562499848629,,
